director_name,movie_title,budget,imdb_score,title_year,director_expense
M. Night Shyamalan,The Last Airbender,150000000.0,4.2,2010.0,605000000.0
J.J. Abrams,Mission: Impossible III,150000000.0,6.9,2006.0,540000000.0
Roland Emmerich,White House Down,150000000.0,6.4,2013.0,825000000.0
Simon Wells,Mars Needs Moms,150000000.0,5.4,2011.0,230000000.0
David Bowers,Flushed Away,149000000.0,6.7,2006.0,214000000.0
Joe Wright,Pan,150000000.0,5.8,2015.0,210000000.0
Rob Minkoff,Mr. Peabody & Sherman,145000000.0,6.9,2014.0,543000000.0
Wolfgang Petersen,Troy,175000000.0,7.2,2004.0,610000000.0
Eric Darnell,Madagascar 3: Europe's Most Wanted,145000000.0,6.9,2012.0,607000000.0
Lee Tamahori,Die Another Day,142000000.0,6.1,2002.0,229000000.0
Paul Feig,Ghostbusters,144000000.0,5.5,2016.0,144000000.0
Michael Bay,Armageddon,140000000.0,6.6,1998.0,1416000000.0
Barry Sonnenfeld,Men in Black II,140000000.0,6.1,2002.0,625000000.0
Robert Zemeckis,Beowulf,150000000.0,6.3,2007.0,905000000.0
Alessandro Carloni,Kung Fu Panda 3,145000000.0,7.2,2016.0,145000000.0
Brad Bird,Mission: Impossible - Ghost Protocol,145000000.0,7.4,2011.0,647000000.0
Peter Ramsey,Rise of the Guardians,145000000.0,7.3,2012.0,145000000.0
Dean Parisot,Fun with Dick and Jane,100000000.0,6.1,2005.0,184000000.0
Edward Zwick,The Last Samurai,140000000.0,7.7,2003.0,310000000.0
Ridley Scott,Exodus: Gods and Kings,140000000.0,6.1,2014.0,1123000000.0
J.J. Abrams,Star Trek,150000000.0,8.0,2009.0,540000000.0
Sam Raimi,Spider-Man,139000000.0,7.3,2002.0,862000000.0
Dean DeBlois,How to Train Your Dragon 2,145000000.0,7.9,2014.0,390000000.0
Alex Proyas,Gods of Egypt,140000000.0,5.5,2016.0,310000000.0
Rob Cohen,Stealth,135000000.0,5.0,2005.0,525000000.0
Zack Snyder,Watchmen,130000000.0,7.7,2009.0,832000000.0
Richard Donner,Lethal Weapon 4,140000000.0,6.6,1998.0,345000000.0
Ang Lee,Hulk,137000000.0,5.7,2003.0,257000000.0
Jon M. Chu,G.I. Joe: Retaliation,130000000.0,5.8,2013.0,220000000.0
Breck Eisner,Sahara,130000000.0,6.0,2005.0,220000000.0
Hironobu Sakaguchi,Final Fantasy: The Spirits Within,137000000.0,6.4,2001.0,137000000.0
Joe Johnston,Captain America: The First Avenger,140000000.0,6.9,2011.0,483000000.0
Michael Apted,The World Is Not Enough,135000000.0,6.4,1999.0,290000000.0
Peter Weir,Master and Commander: The Far Side of the World,150000000.0,7.4,2003.0,210000000.0
Bill Condon,The Twilight Saga: Breaking Dawn - Part 2,120000000.0,5.5,2012.0,190000000.0
George Miller,Happy Feet 2,135000000.0,5.9,2011.0,465000000.0
Louis Leterrier,The Incredible Hulk,150000000.0,6.8,2008.0,350000000.0
Steven Spielberg,The BFG,140000000.0,6.8,2016.0,1383000000.0
Alejandro G. Iñárritu,The Revenant,135000000.0,8.1,2015.0,135000000.0
David Soren,Turbo,135000000.0,6.5,2013.0,135000000.0
Gore Verbinski,Rango,135000000.0,7.2,2011.0,1015000000.0
Eric Darnell,Penguins of Madagascar,132000000.0,6.7,2014.0,607000000.0
Paul Greengrass,The Bourne Ultimatum,110000000.0,8.1,2007.0,460000000.0
Mark Osborne,Kung Fu Panda,130000000.0,7.6,2008.0,211200000.0
Peyton Reed,Ant-Man,130000000.0,7.4,2015.0,252000000.0
Francis Lawrence,The Hunger Games: Catching Fire,130000000.0,7.6,2013.0,565000000.0
Tim Johnson,Home,135000000.0,6.7,2015.0,215000000.0
Steven Spielberg,War of the Worlds,132000000.0,6.5,2005.0,1383000000.0
Michael Bay,Bad Boys II,130000000.0,6.6,2003.0,1416000000.0
Chris Miller,Puss in Boots,130000000.0,6.7,2011.0,290000000.0
Phillip Noyce,Salt,110000000.0,6.4,2010.0,240000000.0
Darren Aronofsky,Noah,125000000.0,5.8,2014.0,125000000.0
Steven Spielberg,The Adventures of Tintin,135000000.0,7.4,2011.0,1383000000.0
Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban,130000000.0,7.8,2004.0,306000000.0
Baz Luhrmann,Australia,130000000.0,6.6,2008.0,287500000.0
M. Night Shyamalan,After Earth,130000000.0,4.9,2013.0,605000000.0
Eric Leighton,Dinosaur,127500000.0,6.5,2000.0,127500000.0
Shawn Levy,Night at the Museum: Secret of the Tomb,127000000.0,6.2,2014.0,675000000.0
Tom McGrath,Megamind,130000000.0,7.3,2010.0,130000000.0
Chris Columbus,Harry Potter and the Sorcerer's Stone,125000000.0,7.5,2001.0,558000000.0
Robert Schwentke,R.I.P.D.,130000000.0,5.6,2013.0,463000000.0
Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,8.1,2003.0,1015000000.0
Francis Lawrence,The Hunger Games: Mockingjay - Part 1,125000000.0,6.7,2014.0,565000000.0
Ron Howard,The Da Vinci Code,125000000.0,6.6,2006.0,911000000.0
Carlos Saldanha,Rio 2,103000000.0,6.4,2014.0,363000000.0
Bryan Singer,X-Men 2,110000000.0,7.5,2003.0,1042000000.0
Justin Lin,Fast Five,125000000.0,7.3,2011.0,395000000.0
Guy Ritchie,Sherlock Holmes: A Game of Shadows,125000000.0,7.5,2011.0,290000000.0
Louis Leterrier,Clash of the Titans,125000000.0,5.8,2010.0,350000000.0
Paul Verhoeven,Total Recall,65000000.0,7.5,1990.0,265000000.0
John McTiernan,The 13th Warrior,85000000.0,6.6,1999.0,365000000.0
Tony Gilroy,The Bourne Legacy,125000000.0,6.7,2012.0,185000000.0
Joel Schumacher,Batman & Robin,125000000.0,3.7,1997.0,365000000.0
Ron Howard,How the Grinch Stole Christmas,123000000.0,6.0,2000.0,911000000.0
Roland Emmerich,The Day After Tomorrow,125000000.0,6.4,2004.0,825000000.0
John Woo,Mission: Impossible II,125000000.0,6.1,2000.0,430000000.0
Wolfgang Petersen,The Perfect Storm,140000000.0,6.4,2000.0,610000000.0
Tim Story,Fantastic 4: Rise of the Silver Surfer,130000000.0,5.6,2007.0,130000000.0
Ang Lee,Life of Pi,120000000.0,8.0,2012.0,257000000.0
Mark Steven Johnson,Ghost Rider,110000000.0,5.2,2007.0,110000000.0
Paul Greengrass,Jason Bourne,120000000.0,7.1,2016.0,460000000.0
McG,Charlie's Angels: Full Throttle,120000000.0,4.8,2003.0,542000000.0
Ridley Scott,Prometheus,130000000.0,7.0,2012.0,1123000000.0
Rob Minkoff,Stuart Little 2,120000000.0,5.4,2002.0,543000000.0
Neill Blomkamp,Elysium,115000000.0,6.6,2013.0,115000000.0
David Twohy,The Chronicles of Riddick,105000000.0,6.7,2004.0,105000000.0
José Padilha,RoboCop,100000000.0,6.2,2014.0,100000000.0
Lana Wachowski,Speed Racer,120000000.0,6.1,2008.0,659000000.0
James L. Brooks,How Do You Know,120000000.0,5.3,2010.0,250000000.0
James Mangold,Knight and Day,117000000.0,6.3,2010.0,237000000.0
Joseph Kosinski,Oblivion,120000000.0,7.0,2013.0,290000000.0
George Lucas,Star Wars: Episode III - Revenge of the Sith,113000000.0,7.6,2005.0,343000000.0
George Lucas,Star Wars: Episode II - Attack of the Clones,115000000.0,6.7,2002.0,343000000.0
Pete Docter,"Monsters, Inc.",115000000.0,8.1,2001.0,465000000.0
James Mangold,The Wolverine,120000000.0,6.7,2013.0,237000000.0
George Lucas,Star Wars: Episode I - The Phantom Menace,115000000.0,6.5,1999.0,343000000.0
Kirk De Micco,The Croods,135000000.0,7.3,2013.0,135000000.0
Frédéric Forestier,Asterix at the Olympic Games,78000000.0,5.1,2008.0,78000000.0
John Woo,Windtalkers,115000000.0,6.0,2002.0,430000000.0
Cedric Nicolas-Troyan,The Huntsman: Winter's War,115000000.0,6.1,2016.0,115000000.0
Jonathan Liebesman,Teenage Mutant Ninja Turtles,125000000.0,5.9,2014.0,345000000.0
Alfonso Cuarón,Gravity,100000000.0,7.8,2013.0,306000000.0
Roger Donaldson,Dante's Peak,116000000.0,5.8,1997.0,196000000.0
Dave Green,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,6.3,2016.0,135000000.0
Josh Trank,Fantastic Four,120000000.0,4.3,2015.0,120000000.0
Shawn Levy,Night at the Museum,110000000.0,6.4,2006.0,675000000.0
Brad Peyton,San Andreas,110000000.0,6.1,2015.0,274000000.0
Roger Spottiswoode,Tomorrow Never Dies,110000000.0,6.5,1997.0,192000000.0
Roland Emmerich,The Patriot,110000000.0,7.1,2000.0,825000000.0
Steven Soderbergh,Ocean's Twelve,110000000.0,6.4,2004.0,392000000.0
Doug Liman,Mr. & Mrs. Smith,120000000.0,6.5,2005.0,443000000.0
Robert Schwentke,Insurgent,110000000.0,6.3,2015.0,463000000.0
Martin Scorsese,The Aviator,110000000.0,7.5,2004.0,702000000.0
Rob Letterman,Gulliver's Travels,112000000.0,4.9,2010.0,345000000.0
Michel Gondry,The Green Hornet,120000000.0,5.8,2011.0,120000000.0
Noam Murro,300: Rise of an Empire,110000000.0,6.2,2014.0,110000000.0
Raja Gosnell,The Smurfs,110000000.0,5.5,2011.0,299000000.0
Will Finn,Home on the Range,110000000.0,5.4,2004.0,180000000.0
Robert Schwentke,Allegiant,110000000.0,5.8,2016.0,463000000.0
Shawn Levy,Real Steel,110000000.0,7.1,2011.0,675000000.0
Raja Gosnell,The Smurfs 2,105000000.0,5.4,2013.0,299000000.0
Jan de Bont,Speed 2: Cruise Control,160000000.0,3.7,1997.0,427000000.0
Gavin Hood,Ender's Game,110000000.0,6.7,2013.0,260000000.0
Len Wiseman,Live Free or Die Hard,110000000.0,7.2,2007.0,110000000.0
Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,93000000.0,8.8,2001.0,1208000000.0
Frank Coraci,Around the World in 80 Days,110000000.0,5.8,2004.0,260000000.0
Michael Mann,Ali,107000000.0,6.8,2001.0,410000000.0
Bo Welch,The Cat in the Hat,109000000.0,3.8,2003.0,109000000.0
Alex Proyas,"I, Robot",120000000.0,7.1,2004.0,310000000.0
Ridley Scott,Kingdom of Heaven,130000000.0,7.2,2005.0,1123000000.0
Rob Minkoff,Stuart Little,133000000.0,5.9,1999.0,543000000.0
Ron Clements,The Princess and the Frog,105000000.0,7.1,2009.0,245000000.0
Ridley Scott,The Martian,108000000.0,8.1,2015.0,1123000000.0
Michael Bay,The Island,126000000.0,6.9,2005.0,1416000000.0
Peter Chelsom,Town & Country,90000000.0,4.4,2001.0,90000000.0
Dominic Sena,Gone in Sixty Seconds,90000000.0,6.5,2000.0,170000000.0
Ridley Scott,Gladiator,103000000.0,8.5,2000.0,1123000000.0
Steven Spielberg,Minority Report,102000000.0,7.7,2002.0,1383000000.0
Chris Columbus,Harry Potter and the Chamber of Secrets,100000000.0,7.4,2002.0,558000000.0
Martin Campbell,Casino Royale,150000000.0,8.0,2006.0,738000000.0
Tim Burton,Planet of the Apes,100000000.0,5.7,2001.0,770000000.0
James Cameron,Terminator 2: Judgment Day,102000000.0,8.5,1991.0,654000000.0
Michael Mann,Public Enemies,100000000.0,7.0,2009.0,410000000.0
Ridley Scott,American Gangster,100000000.0,7.8,2007.0,1123000000.0
James Cameron,True Lies,115000000.0,7.2,1994.0,654000000.0
Tony Scott,The Taking of Pelham 1 2 3,100000000.0,6.4,2009.0,620000000.0
Paul Weitz,Little Fockers,100000000.0,5.5,2010.0,100000000.0
Adam McKay,The Other Guys,100000000.0,6.7,2010.0,288000000.0
Chuck Russell,Eraser,100000000.0,6.1,1996.0,160000000.0
Quentin Tarantino,Django Unchained,100000000.0,8.5,2012.0,279000000.0
Gary Trousdale,The Hunchback of Notre Dame,100000000.0,6.9,1996.0,220000000.0
Mark Dindal,The Emperor's New Groove,100000000.0,7.3,2000.0,250000000.0
Simon West,The Expendables 2,92000000.0,6.7,2012.0,377000000.0
Jon Turteltaub,National Treasure,100000000.0,6.9,2004.0,365000000.0
Stefen Fangmeier,Eragon,100000000.0,5.1,2006.0,100000000.0
Spike Jonze,Where the Wild Things Are,100000000.0,6.8,2009.0,100000000.0
Chris Wedge,Epic,100000000.0,6.7,2013.0,234000000.0
Florian Henckel von Donnersmarck,The Tourist,100000000.0,6.0,2010.0,100000000.0
Peter Hyams,End of Days,83000000.0,5.7,1999.0,175000000.0
Edward Zwick,Blood Diamond,100000000.0,8.0,2006.0,310000000.0
Martin Scorsese,The Wolf of Wall Street,100000000.0,8.2,2013.0,702000000.0
Joel Schumacher,Batman Forever,100000000.0,5.4,1995.0,365000000.0
Paul Verhoeven,Starship Troopers,105000000.0,7.2,1997.0,265000000.0
Tom Tykwer,Cloud Atlas,102000000.0,7.5,2012.0,202000000.0
Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole,80000000.0,7.0,2010.0,832000000.0
Pitof,Catwoman,100000000.0,3.3,2004.0,100000000.0
Brett Ratner,Hercules,100000000.0,6.0,2014.0,811000000.0
Ron Clements,Treasure Planet,140000000.0,7.1,2002.0,245000000.0
Brad Silberling,Land of the Lost,100000000.0,5.4,2009.0,205000000.0
Patrick Hughes,The Expendables 3,90000000.0,6.1,2014.0,90000000.0
Ericson Core,Point Break,105000000.0,5.3,2015.0,105000000.0
Lawrence Guterman,Son of the Mask,84000000.0,2.2,2005.0,144000000.0
Ron Howard,In the Heart of the Sea,100000000.0,7.0,2015.0,911000000.0
Ron Underwood,The Adventures of Pluto Nash,100000000.0,3.8,2002.0,190000000.0
Paul Greengrass,Green Zone,100000000.0,6.9,2010.0,460000000.0
Steve Martino,The Peanuts Movie,99000000.0,7.2,2015.0,194000000.0
David Mamet,The Spanish Prisoner,10000000.0,7.3,1997.0,10000000.0
Stephen Sommers,The Mummy Returns,98000000.0,6.3,2001.0,273000000.0
Martin Scorsese,Gangs of New York,100000000.0,7.5,2002.0,702000000.0
Yimou Zhang,The Flowers of War,94000000.0,7.6,2011.0,94000000.0
Ash Brannon,Surf's Up,100000000.0,6.8,2007.0,100000000.0
Frank Oz,The Stepford Wives,90000000.0,5.2,2004.0,213000000.0
Ridley Scott,Black Hawk Down,92000000.0,7.7,2001.0,1123000000.0
Jay Roach,The Campaign,95000000.0,6.2,2012.0,293000000.0
Luc Besson,The Fifth Element,93000000.0,7.7,1997.0,179000000.0
Michael Patrick King,Sex and the City 2,100000000.0,4.3,2010.0,100000000.0
Bibo Bergeron,The Road to El Dorado,95000000.0,6.9,2000.0,170000000.0
Steve Martino,Ice Age: Continental Drift,95000000.0,6.6,2012.0,194000000.0
Kenneth Branagh,Cinderella,95000000.0,7.0,2015.0,305000000.0
Peter Jackson,The Lovely Bones,65000000.0,6.7,2009.0,1208000000.0
Andrew Stanton,Finding Nemo,94000000.0,8.2,2003.0,537700000.0
Peter Jackson,The Lord of the Rings: The Return of the King,94000000.0,8.9,2003.0,1208000000.0
Peter Jackson,The Lord of the Rings: The Two Towers,94000000.0,8.7,2002.0,1208000000.0
Sergey Bodrov,Seventh Son,95000000.0,5.5,2014.0,95000000.0
Simon West,Lara Croft: Tomb Raider,115000000.0,5.7,2001.0,377000000.0
Wally Pfister,Transcendence,100000000.0,6.3,2014.0,100000000.0
Joe Johnston,Jurassic Park III,93000000.0,5.9,2001.0,483000000.0
Rupert Wyatt,Rise of the Planet of the Apes,93000000.0,7.6,2011.0,93000000.0
Mark Waters,The Spiderwick Chronicles,90000000.0,6.6,2008.0,203000000.0
John Moore,A Good Day to Die Hard,92000000.0,5.3,2013.0,137000000.0
John Lee Hancock,The Alamo,107000000.0,6.0,2004.0,107000000.0
Brad Bird,The Incredibles,92000000.0,8.0,2004.0,647000000.0
Renny Harlin,Cutthroat Island,98000000.0,5.6,1995.0,555000000.0
Chris Columbus,Percy Jackson & the Olympians: The Lightning Thief,95000000.0,5.9,2010.0,558000000.0
Barry Sonnenfeld,Men in Black,90000000.0,7.3,1997.0,625000000.0
John Lasseter,Toy Story 2,90000000.0,7.9,1999.0,410000000.0
Tony Scott,Unstoppable,100000000.0,6.8,2010.0,620000000.0
Brett Ratner,Rush Hour 2,90000000.0,6.6,2001.0,811000000.0
Robert Zemeckis,What Lies Beneath,100000000.0,6.6,2000.0,905000000.0
Phil Lord,Cloudy with a Chance of Meatballs,100000000.0,7.0,2009.0,210000000.0
Carlos Saldanha,Ice Age: Dawn of the Dinosaurs,90000000.0,7.0,2009.0,363000000.0
Ben Stiller,The Secret Life of Walter Mitty,90000000.0,7.3,2013.0,182000000.0
McG,Charlie's Angels,92000000.0,5.5,2000.0,542000000.0
Martin Scorsese,The Departed,90000000.0,8.5,2006.0,702000000.0
Tony Bancroft,Mulan,90000000.0,7.5,1998.0,90000000.0
Ben Stiller,Tropic Thunder,92000000.0,7.0,2008.0,182000000.0
David Fincher,The Girl with the Dragon Tattoo,90000000.0,7.8,2011.0,529000000.0
John McTiernan,Die Hard with a Vengeance,90000000.0,7.6,1995.0,365000000.0
Guy Ritchie,Sherlock Holmes,90000000.0,7.6,2009.0,290000000.0
Gary Trousdale,Atlantis: The Lost Empire,120000000.0,6.8,2001.0,220000000.0
